unknown	hamlet@5955, hamlet@1630, 1kinghenryvi@3197, kinghenryv@2365, asyoulikeit@3078, rapeoflucrece@674, rapeoflucrece@109, rapeoflucrece@188, comedyoferrors@1781, comedyoferrors@1141, comedyoferrors@1240, measureforemeasure@4109, merchantofvenice@233, othello@1377, othello@2597, troilusandcressida@2875, periclesprinceoftyre@614, muchadoaboutnothing@2734, cymbeline@4203, cymbeline@4626, cymbeline@5422, cymbeline@5440, cymbeline@4137, kinglear@5211, antonyandcleopatra@2308, sonnets@1996, sonnets@1982, midsummersnightsdream@2525, juliuscaesar@3513, juliuscaesar@1948, kingrichardiii@2290, kingrichardiii@688, 2kinghenryvi@1998, coriolanus@176, coriolanus@3158, twelfthnight@1781, allswellthatendswell@1292, allswellthatendswell@522, winterstale@3098, winterstale@3269, winterstale@2622, winterstale@2294, tamingoftheshrew@1410, tamingoftheshrew@1190, romeoandjuliet@1188, macbeth@2476, macbeth@2977, twogentlemenofverona@1816
unlace	othello@1878
unlaced	various@198
unlaid	periclesprinceoftyre@509, cymbeline@3793
unlawful	kingrichardiii@1527, kingrichardiii@3549, 1kinghenryvi@4249, glossary@1478, measureforemeasure@2781, comedyoferrors@2384, antonyandcleopatra@2902, othello@4242, othello@4041, allswellthatendswell@3141, allswellthatendswell@2486, winterstale@4557
unlawfully	kingrichardiii@4202, measureforemeasure@2124, othello@4904
unlearn	cymbeline@3621, timonofathens@2684
unlearned	sonnets@2350, loveslabourslost@2044, allswellthatendswell@816
unless	allswellthatendswell@2825, allswellthatendswell@4134, allswellthatendswell@2336, allswellthatendswell@4379, allswellthatendswell@4412, kingrichardiii@5159, kingrichardiii@1823, kingrichardiii@4557, kingrichardiii@1065, kingrichardiii@167, kingrichardiii@4846, kingrichardiii@4844, periclesprinceoftyre@953, periclesprinceoftyre@2253, periclesprinceoftyre@2703, periclesprinceoftyre@1591, periclesprinceoftyre@365, kingrichardii@2314, kingrichardii@3494, kingrichardii@1778, kingrichardii@1255, tempest@1433, tempest@1586, tempest@3394, kinghenryviii@4429, hamlet@2340, hamlet@2134, hamlet@4948, titusandronicus@2142, titusandronicus@2201, titusandronicus@3043, titusandronicus@1173, comedyoferrors@795, comedyoferrors@859, comedyoferrors@2550, comedyoferrors@2581, comedyoferrors@87, merchantofvenice@1228, merchantofvenice@1173, merchantofvenice@3847, merchantofvenice@1911, merchantofvenice@2281, merchantofvenice@444, merchantofvenice@2862, merchantofvenice@439, merchantofvenice@2282, asyoulikeit@3249, asyoulikeit@319, asyoulikeit@2405, asyoulikeit@3032, kinghenryv@1418, kinghenryv@4466, kinghenryv@1084, kinghenryv@3399, rapeoflucrece@1940, rapeoflucrece@1170, rapeoflucrece@1949, 1kinghenryvi@1535, othello@4275, othello@1980, othello@1888, othello@91, twogentlemenofverona@3019, twogentlemenofverona@1962, twogentlemenofverona@1677, twogentlemenofverona@3173, twogentlemenofverona@1966, twogentlemenofverona@3133, twogentlemenofverona@3426, twogentlemenofverona@422, twogentlemenofverona@2053, kinglear@1506, troilusandcressida@4662, troilusandcressida@4939, troilusandcressida@3101, troilusandcressida@333, troilusandcressida@709, troilusandcressida@4625, 2kinghenryiv@2299, 2kinghenryiv@4797, 2kinghenryiv@4888, 2kinghenryiv@3698, 2kinghenryiv@1021, juliuscaesar@3543, muchadoaboutnothing@1875, muchadoaboutnothing@821, muchadoaboutnothing@1870, muchadoaboutnothing@2580, muchadoaboutnothing@1106, kingjohn@1455, kingjohn@895, winterstale@3910, winterstale@1368, midsummersnightsdream@2619, various@428, loveslabourslost@3978, loveslabourslost@1156, cymbeline@4765, cymbeline@462, cymbeline@837, cymbeline@5005, cymbeline@4706, cymbeline@3898, twelfthnight@2802, twelfthnight@360, twelfthnight@942, twelfthnight@654, twelfthnight@1088, twelfthnight@960, twelfthnight@2257, venusandadonis@226, venusandadonis@506, 1kinghenryiv@4144, 1kinghenryiv@3415, 1kinghenryiv@4036, 1kinghenryiv@3947, 1kinghenryiv@231, measureforemeasure@674, measureforemeasure@879, 2kinghenryvi@2044, 2kinghenryvi@4017, 2kinghenryvi@2741, 2kinghenryvi@3382, 2kinghenryvi@3796, 2kinghenryvi@2084, 2kinghenryvi@3867, 2kinghenryvi@3926, coriolanus@4764, coriolanus@4944, coriolanus@4240, coriolanus@4647, coriolanus@3243, sonnets@1119, sonnets@133, sonnets@2072, sonnets@2046, sonnets@1230, sonnets@625, macbeth@2619, 3kinghenryvi@3622, 3kinghenryvi@2414, 3kinghenryvi@2659, 3kinghenryvi@2982, 3kinghenryvi@944, 3kinghenryvi@2202, 3kinghenryvi@905, 3kinghenryvi@2580, 3kinghenryvi@3182, 3kinghenryvi@185, 3kinghenryvi@2783, 3kinghenryvi@1469, 3kinghenryvi@176, romeoandjuliet@326, romeoandjuliet@2850, romeoandjuliet@3530, romeoandjuliet@2872, romeoandjuliet@3383, romeoandjuliet@1947, tamingoftheshrew@1063, tamingoftheshrew@999, tamingoftheshrew@579, merrywivesofwindsor@1587, merrywivesofwindsor@3226, merrywivesofwindsor@1080
unlesson	merchantofvenice@2180
unletter	kinghenryv@233, sonnets@1452
unlettered	loveslabourslost@393, loveslabourslost@1857
unlicensed	periclesprinceoftyre@590
unlick	3kinghenryvi@2430
unlike	loveslabourslost@1126, merchantofvenice@1728, merchantofvenice@1729, othello@255, troilusandcressida@1680, measureforemeasure@3608, cymbeline@1219, cymbeline@4621, cymbeline@5293, venusandadonis@860, 2kinghenryvi@1938, 2kinghenryvi@380, coriolanus@2669, tamingoftheshrew@2192, antonyandcleopatra@943
unlikely	3kinghenryvi@2420, kingrichardii@3731, coriolanus@4585, venusandadonis@1183
unlimited	hamlet@2201
unlineal	macbeth@1665
unlink	asyoulikeit@3302
unlived	glossary@2225, rapeoflucrece@2078
unload	3kinghenryvi@1127, 2kinghenryvi@246
unloaded	1kinghenryiv@3365
unloading	antonyandcleopatra@4324
unloads	measureforemeasure@1875
unlock	rapeoflucrece@89, macbeth@3188, merchantofvenice@1720, merchantofvenice@251, loveslabourslost@202, troilusandcressida@5192
unlocks	merchantofvenice@1536, othello@4971
unlook	kingrichardiii@1051, rapeoflucrece@1038, kingjohn@1160, kingjohn@546, 3kinghenryvi@3844, 3kinghenryvi@2400, romeoandjuliet@1021, sonnets@133, sonnets@429, kingrichardii@652
unlooked	1kinghenryiv@4120
unloose	rapeoflucrece@226, troilusandcressida@2986, measureforemeasure@535, kinglear@1858, kinghenryv@224, 2kinghenryvi@4403
unloosed	kinghenryviii@2114
unloved	midsummersnightsdream@1741, antonyandcleopatra@2970
unloving	3kinghenryvi@1326
unluckily	timonofathens@1692, comedyoferrors@2486, 2kinghenryiv@4868, winterstale@1794, romeoandjuliet@3029, tamingoftheshrew@3466
unlucky	1kinghenryiv@3749, titusandronicus@1396, othello@5380, juliuscaesar@2623, romeoandjuliet@2503, romeoandjuliet@4506
unlustrous	cymbeline@1131
unmade	romeoandjuliet@2866
unmake	othello@2072, macbeth@857
unmanly	3kinghenryvi@411, kinghenryviii@836, timonofathens@2915, hamlet@490
unmann	macbeth@2099, romeoandjuliet@2598
unmanned	glossary@2226
unmanner	tamingoftheshrew@2670, kingrichardiii@411
