4	10.1.1.125	12
4	10.1.100.13	1
4	10.1.100.138	1
4	10.1.101.92	1
4	10.1.11.81	69
4	10.1.111.244	1
4	10.1.112.22	23
4	10.1.12.172	54
4	10.1.120.14	14
4	10.1.122.3	2
4	10.1.123.140	1
4	10.1.125.31	1
4	10.1.126.88	21
4	10.1.13.175	3
4	10.1.131.59	1
4	10.1.136.219	1
4	10.1.136.222	2
4	10.1.143.54	4
4	10.1.148.181	2
4	10.1.149.167	24
4	10.1.149.41	28
4	10.1.151.249	2
4	10.1.158.242	1
4	10.1.158.247	1
4	10.1.158.73	1
4	10.1.161.191	25
4	10.1.167.19	1
4	10.1.169.161	1
4	10.1.169.172	19
4	10.1.172.120	1
4	10.1.174.242	1
4	10.1.174.51	1
4	10.1.177.208	1
4	10.1.181.142	699
4	10.1.189.186	1
4	10.1.191.170	1
4	10.1.191.226	1
4	10.1.196.148	1
4	10.1.198.166	1
4	10.1.200.122	1
4	10.1.201.170	21
4	10.1.204.131	1
4	10.1.204.182	1
4	10.1.208.89	1
4	10.1.209.239	1
4	10.1.21.25	1
4	10.1.210.9	1
4	10.1.216.113	19
4	10.1.216.118	1
4	10.1.219.52	7
4	10.1.219.8	1
4	10.1.22.143	1
4	10.1.226.135	1
4	10.1.23.62	1
4	10.1.230.245	31
4	10.1.237.21	19
4	10.1.238.137	1
4	10.1.240.86	1
4	10.1.241.177	1
4	10.1.241.18	27
4	10.1.243.122	1
4	10.1.243.17	1
4	10.1.245.107	36
4	10.1.247.236	1
4	10.1.247.6	1
4	10.1.28.117	19
4	10.1.31.65	1
4	10.1.32.170	1
4	10.1.32.173	1
4	10.1.33.67	8
4	10.1.36.2	2
4	10.1.41.200	1
4	10.1.41.66	1
4	10.1.42.105	1
4	10.1.42.132	5
4	10.1.42.238	2
4	10.1.51.28	1
4	10.1.55.181	1
4	10.1.55.40	24
4	10.1.57.60	1
4	10.1.6.182	1
4	10.1.6.32	12
4	10.1.65.143	1
4	10.1.65.185	1
4	10.1.70.110	1
4	10.1.70.201	2
4	10.1.71.236	3
4	10.1.78.39	318
4	10.1.79.125	22
4	10.1.82.221	1
4	10.1.83.212	35
4	10.1.87.32	27
4	10.1.89.174	1
4	10.1.90.236	9
4	10.1.90.37	2
4	10.1.94.137	1
4	10.1.96.140	19
4	10.1.96.173	3
4	10.1.99.158	1
4	10.10.10.246	1
4	10.10.116.127	1
4	10.10.120.141	4
4	10.10.120.151	1
4	10.10.123.233	1
4	10.10.124.239	1
4	10.10.125.100	1
4	10.10.125.121	18
4	10.10.125.157	36
4	10.10.126.111	1
4	10.10.126.5	4
4	10.10.129.183	14
4	10.10.130.123	1
4	10.10.137.104	1
4	10.10.154.154	1
4	10.10.156.215	31
4	10.10.156.225	1
4	10.10.160.20	1
4	10.10.162.236	1
4	10.10.166.46	1
4	10.10.176.52	17
4	10.10.176.94	92
4	10.10.177.19	1
4	10.10.179.165	1
4	10.10.192.105	1
4	10.10.20.218	3
4	10.10.210.78	2
4	10.10.217.169	217
4	10.10.218.50	1
4	10.10.220.21	1
4	10.10.222.91	1
4	10.10.226.234	1
4	10.10.228.213	76
4	10.10.229.150	15
4	10.10.238.106	1
4	10.10.244.70	1
4	10.10.249.117	2
